time,coordinates,device_id,car_id,route_id,speed,heading
2026-03-02 02:59:11.528206 +00:00,POINT (11.442828867595123 55.80140737356261),77,23,63,0,-1
2026-03-02 03:38:14.518726 +00:00,POINT (12.385789370175809 55.68119298671901),12,10,58,0,211.9921875
2026-03-02 03:38:44.518491 +00:00,POINT (12.385765230294675 55.681230579554736),12,10,58,0,207.0703125
2026-03-02 03:39:19.527249 +00:00,POINT (12.385796159517378 55.68125362978846),12,10,58,0,-1
2026-03-02 03:40:49.568701 +00:00,POINT (12.38580160775444 55.681263268977105),12,10,58,0,194.4140625
2026-03-02 03:41:24.526133 +00:00,POINT (12.385728182282657 55.681206397764086),12,10,58,1.0299999713897705,212.34375
2026-03-02 03:41:54.527042 +00:00,POINT (12.384301330905766 55.68101122514874),12,10,58,4.329999923706055,332.2265625
2026-03-02 03:42:24.595031 +00:00,POINT (12.384277442481727 55.681165033071935),12,10,58,0,356.484375
2026-03-02 03:47:49.538802 +00:00,POINT (12.384280962881059 55.68114906554639),12,10,58,0.18000000715255737,352.96875
2026-03-02 03:47:54.521547 +00:00,POINT (12.384287416946501 55.68115707026392),12,10,58,0,352.96875
2026-03-02 03:47:59.542486 +00:00,POINT (12.384287416946501 55.68115707026392),12,10,58,0,352.96875
2026-03-02 03:48:04.541822 +00:00,POINT (12.384287416946501 55.68115707026392),12,10,58,0,352.96875
2026-03-02 03:48:24.540935 +00:00,POINT (12.384287416946501 55.68115707026392),12,10,58,0,352.96875
2026-03-02 03:48:54.542695 +00:00,POINT (12.38426394761762 55.681156734987795),12,10,58,0,352.96875
2026-03-02 03:49:44.517962 +00:00,POINT (12.38424877637288 55.681163901515006),12,10,58,0,352.96875
2026-03-02 03:49:49.546672 +00:00,POINT (12.38424877637288 55.681163901515006),12,10,58,0,352.96875
2026-03-02 03:49:54.517234 +00:00,POINT (12.38424877637288 55.681163901515006),12,10,58,0,352.96875
2026-03-02 03:49:59.546578 +00:00,POINT (12.38424877637288 55.681163901515006),12,10,58,0,352.96875
2026-03-02 03:50:04.519799 +00:00,POINT (12.38424877637288 55.681163901515006),12,10,58,0,352.96875
2026-03-02 03:50:09.547198 +00:00,POINT (12.38424877637288 55.681163901515006),12,10,58,0,352.96875
2026-03-02 03:50:14.518206 +00:00,POINT (12.38424877637288 55.681163901515006),12,10,58,0,352.96875
2026-03-02 03:50:19.547836 +00:00,POINT (12.38424877637288 55.681163901515006),12,10,58,0,352.96875
2026-03-02 03:51:04.552312 +00:00,POINT (12.384249446925134 55.68117064894706),12,10,58,0,352.6171875
2026-03-02 03:51:44.524530 +00:00,POINT (12.384242992859692 55.6811712775898),12,10,58,0.3199999928474426,352.6171875
2026-03-02 03:52:14.525898 +00:00,POINT (12.384222205739826 55.681508523463904),12,10,58,4.369999885559082,352.96875
2026-03-02 03:52:19.506064 +00:00,POINT (12.383972257387251 55.68158676853001),12,10,58,4.840000152587891,270
2026-03-02 03:52:49.528489 +00:00,POINT (12.383052109160676 55.68285988162753),12,10,58,9.779999732971191,356.2919616699219
2026-03-02 03:53:19.542103 +00:00,POINT (12.383503162137568 55.684352849636966),12,10,58,8.84000015258789,87.07437896728516
2026-03-02 03:53:49.543923 +00:00,POINT (12.389828441676116 55.68452177574456),12,10,58,14.420000076293945,87.37676239013672
2026-03-02 03:54:24.541021 +00:00,POINT (12.39803968929909 55.68424592731118),12,10,58,15.039999961853027,113.6200180053711
2026-03-02 03:54:59.560065 +00:00,POINT (12.402033833798395 55.687479707464284),12,10,58,18.489999771118164,33.3984375
2026-03-02 03:55:34.539792 +00:00,POINT (12.407501181599132 55.69210396153451),12,10,58,16.25,34.1015625
2026-03-02 03:56:09.544504 +00:00,POINT (12.412816230219242 55.69654754368187),12,10,58,16.34000015258789,39.375
2026-03-02 03:56:44.515361 +00:00,POINT (12.4183808919158 55.69989070767136),12,10,58,5.460000038146973,46.40625
2026-03-02 03:57:14.547134 +00:00,POINT (12.420336976658945 55.70098232483091),12,10,58,15.920000076293945,45.3515625
2026-03-02 03:57:49.529735 +00:00,POINT (12.426613178115735 55.705330437101146),12,10,58,17.489999771118164,32.34375
2026-03-02 03:58:24.531164 +00:00,POINT (12.4296491872635 55.70625395519259),12,10,58,12.510000228881836,178.90122985839844
2026-03-02 03:58:59.507032 +00:00,POINT (12.428847458225142 55.70507575297328),12,10,58,7.489999771118164,299.79425048828125
2026-03-02 03:59:29.508764 +00:00,POINT (12.425913959753164 55.70654128683331),12,10,58,0,315.91009521484375
2026-03-02 04:00:04.507347 +00:00,POINT (12.42057519034708 55.70968906865987),12,10,58,18.850000381469727,318.6869201660156
2026-03-02 04:00:34.509390 +00:00,POINT (12.417482184257747 55.713118314794926),12,10,58,3.1700000762939453,341.29248046875
